date,orders,revenue,website_traffic,marketing_spend,new_customers,returning_customers
2026-05-03,76,6866.33,2567,759.41,60,16
2026-05-04,54,5815.82,1995,497.78,37,17
2026-05-05,72,5974.63,2207,637.81,49,23
2026-05-06,67,5618.6,2721,817.28,45,22
2026-05-07,86,7150.68,2225,595.52,65,21
2026-05-08,99,8287.65,2742,726.0,76,23
2026-05-09,78,6480.49,2736,773.66,51,27
2026-05-10,82,8012.98,2320,632.35,66,16
2026-05-11,66,6573.34,2113,493.11,43,23
2026-05-12,60,5021.46,2247,607.28,45,15
2026-05-13,83,6774.7,2378,595.97,64,19
2026-05-14,82,7550.39,2581,704.39,65,17
2026-05-15,84,7048.75,2681,708.62,65,19
2026-05-16,97,9061.72,2993,882.52,76,21
2026-05-17,72,6480.33,2306,619.15,51,21
2026-05-18,63,4805.65,2176,584.86,50,13
2026-05-19,73,7359.2,2245,665.17,48,25
2026-05-20,85,8739.94,2313,590.55,68,17
2026-05-21,71,5934.06,2509,693.55,53,18
2026-05-22,90,7686.35,2841,871.82,71,19
2026-05-23,88,7991.92,2850,668.84,64,24
2026-05-24,71,6477.39,2354,693.28,54,17
2026-05-25,62,5818.6,2100,631.34,46,16
2026-05-26,73,7642.12,2392,668.69,57,16
2026-05-27,79,6889.93,2405,596.51,52,27
2026-05-28,69,5676.51,2383,591.57,46,23
2026-05-29,101,7842.15,2935,824.19,70,31
2026-05-30,86,7125.7,2853,809.49,58,28
2026-05-31,77,6811.75,2395,704.27,61,16
2026-06-01,68,7011.52,2258,643.14,47,21
2026-06-02,62,5247.56,2085,572.11,51,11
2026-06-03,90,8153.48,2590,705.73,64,26
2026-06-04,78,6918.39,2487,710.9,53,25
2026-06-05,82,8065.58,2695,744.99,64,18
2026-06-06,96,10473.02,3002,926.65,73,23
2026-06-07,86,7280.45,2570,726.29,63,23
2026-06-08,60,5100.76,2064,541.24,45,15
2026-06-09,72,7006.06,2222,671.41,56,16
2026-06-10,67,6327.01,2421,627.63,46,21
2026-06-11,82,8509.67,2597,751.86,67,15
2026-06-12,90,8432.91,2937,883.43,73,17
2026-06-13,68,5860.11,2750,745.93,52,16
2026-06-14,79,7410.4,2623,766.94,54,25
2026-06-15,72,7053.97,2477,890.01,55,17
2026-06-16,90,8612.18,2538,929.8,60,30
2026-06-17,90,8388.91,3038,1127.26,59,31
2026-06-18,96,9380.18,2809,926.06,67,29
2026-06-19,86,8475.82,3228,1021.83,63,23
2026-06-20,108,10830.65,3331,1010.41,86,22
2026-06-21,82,7744.17,2852,875.85,63,19
2026-06-22,73,6419.57,2255,630.72,57,16
2026-06-23,75,6785.61,2313,660.82,54,21
2026-06-24,74,7324.37,2465,727.99,52,22
2026-06-25,80,6625.23,2621,767.43,57,23
2026-06-26,102,9417.16,2899,817.92,83,19
2026-06-27,96,8280.37,3105,919.8,63,33
2026-06-28,78,6993.12,2443,693.74,62,16
2026-06-29,70,6977.45,2618,832.27,52,18
2026-06-30,88,8008.35,2517,686.48,64,24
